RVA.2	0.00428959	1912
RVA.grafted	NaN	1188
RVA.main	0.00125936	1119
SARS2.main	0.000486195	2019
SV.1	0.000870966	1928
SV.2	0.00196748	2005
SV.3	0.00199129	1975
SV.4	0.00144947	1978
SV.grafted	NaN	1928
SV.main	0.000635265	-373
TBEV.1	1.40784e-05	1185
TBEV.2	1.99128e-05	1417
TBEV.3	4.09937e-05	1682
TBEV.grafted	NaN	1185
TBEV.main	1.81046e-05	-5413
WNV.1	0.000163473	1497
WNV.2	0.000248881	1924
WNV.grafted	NaN	1497
WNV.main	0.000147807	-1095
YFV.1	0.000308446	1785
YFV.main	4.3201e-05	-3758
ZIKV.1	0.000530613	1945
ZIKV.main	0.000513945	1849
